Order_ID,Order_Date,Store_ID,Store_Name,Region,State,City,Product_ID,Product_Name,Product_Category,Beverage_Size,Temperature,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Sales_Channel,Payment_Method,Customer_Type,Promo_Flag,Loyalty_Member,Order_Status,Weather,Daypart
ORD-100050,4/24/2024,DK029,Dunkins Store DK029,West,Arizona,Phoenix,B001,Original Blend Coffee,Coffee,Medium,Hot,2,3.23,0,6.46,1.29,5.17,In-Store,Credit Card,New,No,No,Completed,Sunny,Morning
ORD-100051,4/30/2023,DK003,Dunkins Store DK003,South,Georgia,Atlanta,B005,Cappuccino,Espresso,Medium,Hot,1,4.74,0,4.74,1.2,3.54,Mobile App,Credit Card,Returning,No,Yes,Completed,Rainy,Afternoon
ORD-100052,11/17/2024,DK013,Dunkins Store DK013,Midwest,Michigan,Detroit,F001,Glazed Donut,Bakery,NA,NA,1,1.68,0,1.68,0.43,1.25,Mobile App,Mobile Wallet,Returning,Yes,Yes,Completed,Cold,Morning
ORD-100053,7/6/2024,DK029,Dunkins Store DK029,West,Arizona,Phoenix,B003,Cold Brew,Coffee,Large,Iced,2,4.44,0,8.88,1.86,7.02,Drive-Thru,Cash,Returning,No,Yes,Completed,Sunny,Afternoon
ORD-100054,11/27/2024,DK015,Dunkins Store DK015,South,North Carolina,Charlotte,B006,Americano,Espresso,Small,Hot,1,3.4,0,3.4,0.82,2.58,Drive-Thru,Mobile Wallet,New,No,Yes,Completed,Rainy,Night
ORD-100055,3/3/2023,DK026,Dunkins Store DK026,Midwest,Michigan,Detroit,B001,Original Blend Coffee,Coffee,Large,Hot,1,3.19,0.05,3.03,0.67,2.36,Drive-Thru,Debit Card,New,Yes,No,Completed,Cold,Morning
ORD-100056,10/22/2024,DK025,Dunkins Store DK025,South,Florida,Miami,B005,Cappuccino,Espresso,Medium,Hot,3,4.43,0.1,11.96,3.45,8.51,Drive-Thru,Debit Card,Returning,Yes,Yes,Completed,Sunny,Evening
ORD-100057,9/10/2023,DK002,Dunkins Store DK002,Northeast,Massachusetts,Boston,B001,Original Blend Coffee,Coffee,Small,Hot,2,2.59,0,0,0,0,Mobile App,Cash,New,No,No,Cancelled,Snowy,Morning
ORD-100058,12/22/2023,DK019,Dunkins Store DK019,Northeast,New York,New York,B006,Americano,Espresso,Medium,Hot,1,3.72,0.2,2.98,0.73,2.25,In-Store,Gift Card,Returning,Yes,No,Completed,Rainy,Morning
ORD-100059,9/19/2024,DK005,Dunkins Store DK005,West,Washington,Seattle,B004,Latte,Espresso,Medium,Hot,1,5.02,0.1,4.52,1.18,3.34,Mobile App,Credit Card,New,Yes,Yes,Completed,Sunny,Morning
ORD-100060,7/15/2023,DK013,Dunkins Store DK013,South,North Carolina,Charlotte,F003,Muffin,Bakery,NA,NA,3,3.18,0,9.54,2.55,6.99,Mobile App,Mobile Wallet,Returning,No,No,Completed,Rainy,Morning
ORD-100061,12/21/2023,DK007,Dunkins Store DK007,Northeast,Massachusetts,Boston,B008,Black Tea,Tea,Large,Hot,2,3.69,0.05,7.01,1.12,5.89,Delivery,Mobile Wallet,New,Yes,Yes,Completed,Rainy,Morning
ORD-100062,3/5/2024,DK013,Dunkins Store DK013,West,Colorado,Denver,F003,Muffin,Bakery,NA,NA,1,2.98,0.1,2.68,0.82,1.86,In-Store,Credit Card,New,Yes,No,Completed,Cold,Morning
ORD-100063,7/21/2024,DK004,Dunkins Store DK004,Midwest,Indiana,Indianapolis,F001,Glazed Donut,Bakery,NA,NA,1,1.74,0,1.74,0.44,1.3,Delivery,Credit Card,Returning,Yes,Yes,Completed,Sunny,Morning
ORD-100064,1/7/2024,DK013,Dunkins Store DK013,Northeast,Massachusetts,Boston,B004,Latte,Espresso,Small,Iced,1,4.3,0,4.3,1.28,3.02,Mobile App,Debit Card,New,No,Yes,Completed,Sunny,Night
ORD-100065,6/10/2024,DK020,Dunkins Store DK020,Midwest,Ohio,Columbus,B004,Latte,Espresso,Medium,Iced,1,4.86,0.15,4.13,1.28,2.85,In-Store,Gift Card,Returning,Yes,Yes,Completed,Snowy,Afternoon
ORD-100066,12/25/2024,DK010,Dunkins Store DK010,Northeast,Pennsylvania,Philadelphia,F002,Bagel with Cream Cheese,Bakery,NA,NA,1,3.4,0,3.4,1.02,2.38,Drive-Thru,Debit Card,New,No,Yes,Completed,Snowy,Afternoon
ORD-100067,11/23/2024,DK023,Dunkins Store DK023,South,North Carolina,Charlotte,F003,Muffin,Bakery,NA,NA,1,3.09,0.2,2.47,0.79,1.68,Mobile App,Mobile Wallet,New,Yes,No,Completed,Cold,Morning
ORD-100068,8/1/2024,DK006,Dunkins Store DK006,Northeast,Pennsylvania,Philadelphia,B004,Latte,Espresso,Small,Hot,4,4.55,0.2,14.56,4.77,9.79,Delivery,Gift Card,Returning,Yes,No,Completed,Rainy,Afternoon
ORD-100069,10/2/2023,DK014,Dunkins Store DK014,South,Georgia,Atlanta,B011,Strawberry Refresher,Refreshers,Medium,Iced,2,4.42,0.15,7.51,2.17,5.34,Mobile App,Credit Card,Returning,Yes,No,Completed,Cold,Afternoon
ORD-100070,3/24/2023,DK006,Dunkins Store DK006,Northeast,New Jersey,Jersey City,B007,Matcha Latte,Tea,Small,Iced,2,4.89,0.15,8.31,2.8,5.51,Delivery,Cash,New,Yes,No,Completed,Snowy,Morning
ORD-100071,3/15/2023,DK004,Dunkins Store DK004,West,Arizona,Phoenix,F001,Glazed Donut,Bakery,NA,NA,1,1.66,0,1.66,0.41,-0.62,Drive-Thru,Gift Card,New,No,Yes,Refunded,Rainy,Morning
ORD-100072,10/24/2023,DK007,Dunkins Store DK007,Midwest,Indiana,Indianapolis,B008,Black Tea,Tea,Medium,Hot,2,3.14,0.1,5.65,1.1,4.55,In-Store,Gift Card,New,Yes,No,Completed,Cold,Afternoon
ORD-100073,7/14/2023,DK002,Dunkins Store DK002,West,California,Los Angeles,B006,Americano,Espresso,Medium,Iced,2,3.99,0,7.98,1.48,6.5,Mobile App,Mobile Wallet,Returning,No,No,Completed,Sunny,Night
ORD-100074,9/14/2024,DK001,Dunkins Store DK001,West,California,Los Angeles,B008,Black Tea,Tea,Medium,Hot,4,3.01,0,12.04,2.1,9.94,In-Store,Debit Card,Returning,Yes,No,Completed,Sunny,Afternoon
ORD-100075,6/21/2023,DK001,Dunkins Store DK001,Northeast,Massachusetts,Boston,B010,Frozen Chocolate,Frozen Drinks,Large,Frozen,1,6.27,0.2,5.02,1.68,3.34,Mobile App,Gift Card,New,Yes,Yes,Completed,Sunny,Morning
ORD-100076,11/29/2024,DK014,Dunkins Store DK014,South,North Carolina,Charlotte,F003,Muffin,Bakery,NA,NA,2,2.89,0.1,5.2,1.58,3.62,In-Store,Mobile Wallet,New,Yes,No,Completed,Sunny,Morning
ORD-100077,8/4/2023,DK028,Dunkins Store DK028,South,Georgia,Atlanta,B003,Cold Brew,Coffee,Medium,Iced,1,4.18,0,4.18,0.99,3.19,In-Store,Cash,New,No,Yes,Completed,Cold,Afternoon
ORD-100078,7/31/2024,DK002,Dunkins Store DK002,Northeast,Massachusetts,Boston,B005,Cappuccino,Espresso,Large,Hot,2,5.17,0,10.34,2.5,7.84,Drive-Thru,Debit Card,Returning,No,No,Completed,Rainy,Evening
ORD-100079,1/29/2023,DK020,Dunkins Store DK020,West,Colorado,Denver,B005,Cappuccino,Espresso,Large,Hot,3,5.17,0.2,12.41,3.56,8.85,Drive-Thru,Gift Card,Returning,Yes,Yes,Completed,Cloudy,Morning
ORD-100080,7/14/2023,DK014,Dunkins Store DK014,West,Colorado,Denver,F001,Glazed Donut,Bakery,NA,NA,2,1.71,0.2,2.74,0.89,1.85,Mobile App,Gift Card,Returning,Yes,Yes,Completed,Snowy,Afternoon
ORD-100081,11/3/2024,DK002,Dunkins Store DK002,West,Colorado,Denver,B004,Latte,Espresso,Large,Iced,4,5.16,0.2,16.51,5.24,11.27,Drive-Thru,Gift Card,Returning,Yes,No,Completed,Cold,Morning
ORD-100082,8/22/2024,DK020,Dunkins Store DK020,Northeast,New York,New York,F003,Muffin,Bakery,NA,NA,4,3.07,0,12.28,3.01,9.27,Mobile App,Gift Card,Returning,No,No,Completed,Cold,Night
ORD-100083,1/2/2024,DK021,Dunkins Store DK021,Northeast,Pennsylvania,Philadelphia,B006,Americano,Espresso,Large,Iced,5,4.06,0.1,18.27,4.09,14.18,Mobile App,Mobile Wallet,Returning,Yes,No,Completed,Snowy,Afternoon
ORD-100084,3/8/2023,DK012,Dunkins Store DK012,Northeast,Pennsylvania,Philadelphia,B003,Cold Brew,Coffee,Small,Iced,2,3.98,0,7.96,2.03,5.93,In-Store,Mobile Wallet,Returning,No,Yes,Completed,Sunny,Morning
ORD-100085,2/23/2024,DK027,Dunkins Store DK027,Midwest,Illinois,Chicago,B012,Mango Refresher,Refreshers,Small,Iced,2,3.89,0.2,6.22,2.07,4.15,Delivery,Gift Card,Returning,Yes,Yes,Completed,Cold,Morning
ORD-100086,4/17/2024,DK005,Dunkins Store DK005,South,Florida,Miami,B004,Latte,Espresso,Medium,Hot,2,4.75,0.15,8.07,2.63,5.44,Delivery,Credit Card,Returning,Yes,Yes,Completed,Cloudy,Morning
ORD-100087,8/8/2024,DK002,Dunkins Store DK002,Northeast,New Jersey,Jersey City,B011,Strawberry Refresher,Refreshers,Small,Iced,2,3.79,0.2,6.06,2.29,3.77,Mobile App,Mobile Wallet,New,Yes,Yes,Completed,Sunny,Evening
ORD-100088,4/3/2023,DK018,Dunkins Store DK018,Northeast,Massachusetts,Boston,F003,Muffin,Bakery,NA,NA,1,3.11,0.2,2.49,0.75,1.74,Delivery,Credit Card,Returning,Yes,Yes,Completed,Rainy,Evening
ORD-100089,1/25/2023,DK017,Dunkins Store DK017,Northeast,New Jersey,Jersey City,F002,Bagel with Cream Cheese,Bakery,NA,NA,4,3.49,0,13.96,4.07,9.89,Drive-Thru,Mobile Wallet,Returning,Yes,Yes,Completed,Snowy,Morning
ORD-100090,9/30/2023,DK023,Dunkins Store DK023,West,Washington,Seattle,B006,Americano,Espresso,Small,Hot,4,3.16,0,12.64,3.03,9.61,Drive-Thru,Cash,New,No,Yes,Completed,Sunny,Morning
ORD-100091,12/20/2024,DK011,Dunkins Store DK011,Midwest,Michigan,Detroit,F001,Glazed Donut,Bakery,NA,NA,1,1.65,0,1.65,0.44,1.21,Drive-Thru,Debit Card,New,No,No,Completed,Cold,Afternoon
ORD-100092,5/2/2023,DK016,Dunkins Store DK016,Northeast,New Jersey,Jersey City,F002,Bagel with Cream Cheese,Bakery,NA,NA,6,3.41,0.15,17.39,5.42,11.97,Mobile App,Credit Card,New,Yes,No,Completed,Cold,Evening
ORD-100093,5/26/2024,DK013,Dunkins Store DK013,Northeast,New York,New York,B001,Original Blend Coffee,Coffee,Medium,Hot,1,2.91,0.2,2.33,0.65,1.68,Mobile App,Cash,New,Yes,No,Completed,Sunny,Morning
ORD-100094,2/8/2024,DK003,Dunkins Store DK003,West,Arizona,Phoenix,B011,Strawberry Refresher,Refreshers,Large,Iced,3,4.85,0,14.55,3.42,11.13,Mobile App,Mobile Wallet,Returning,No,No,Completed,Cold,Evening
ORD-100095,5/7/2023,DK006,Dunkins Store DK006,Midwest,Illinois,Chicago,B005,Cappuccino,Espresso,Small,Hot,5,3.99,0.1,17.96,6.31,11.65,In-Store,Gift Card,New,Yes,No,Completed,Snowy,Morning
ORD-100096,10/4/2024,DK013,Dunkins Store DK013,West,California,Los Angeles,B005,Cappuccino,Espresso,Small,Hot,1,4.05,0,4.05,1.16,2.89,Mobile App,Gift Card,Returning,No,No,Completed,Rainy,Morning
ORD-100097,9/8/2024,DK021,Dunkins Store DK021,South,Georgia,Atlanta,F001,Glazed Donut,Bakery,NA,NA,1,1.8,0.05,1.71,0.45,1.26,Delivery,Cash,Returning,Yes,Yes,Completed,Cloudy,Morning
ORD-100098,5/15/2024,DK013,Dunkins Store DK013,West,California,Los Angeles,F002,Bagel with Cream Cheese,Bakery,NA,NA,2,3.3,0,6.6,2.03,4.57,Mobile App,Mobile Wallet,New,No,No,Completed,Snowy,Evening
ORD-100099,5/25/2023,DK017,Dunkins Store DK017,Midwest,Michigan,Detroit,B008,Black Tea,Tea,Large,Hot,1,3.69,0.1,3.32,0.59,2.73,Drive-Thru,Mobile Wallet,New,Yes,No,Completed,Rainy,Evening
ORD-100100,3/19/2024,DK030,Dunkins Store DK030,South,Texas,Dallas,F001,Glazed Donut,Bakery,NA,NA,1,1.64,0.1,1.48,0.42,1.06,Delivery,Cash,Returning,Yes,No,Completed,Sunny,Evening
ORD-100101,7/13/2023,DK016,Dunkins Store DK016,Midwest,Indiana,Indianapolis,F001,Glazed Donut,Bakery,NA,NA,1,1.79,0.15,1.52,0.43,1.09,In-Store,Debit Card,New,Yes,Yes,Completed,Rainy,Morning
ORD-100102,6/11/2024,DK008,Dunkins Store DK008,South,Texas,Dallas,B009,Frozen Coffee,Frozen Drinks,Large,Frozen,1,6.52,0,6.52,1.67,4.85,Drive-Thru,Credit Card,New,No,No,Completed,Cold,Afternoon
ORD-100103,7/24/2024,DK007,Dunkins Store DK007,Northeast,Massachusetts,Boston,B012,Mango Refresher,Refreshers,Large,Iced,1,5.12,0.2,4.1,1.14,2.96,Mobile App,Gift Card,New,Yes,Yes,Completed,Cold,Evening
ORD-100104,5/1/2024,DK005,Dunkins Store DK005,West,Arizona,Phoenix,B012,Mango Refresher,Refreshers,Medium,Iced,6,4.27,0,25.62,6.36,19.26,Mobile App,Cash,Returning,No,Yes,Completed,Cloudy,Morning
ORD-100105,10/26/2024,DK028,Dunkins Store DK028,South,Florida,Miami,F001,Glazed Donut,Bakery,NA,NA,5,1.81,0,9.05,2.11,6.94,Drive-Thru,Debit Card,New,No,Yes,Completed,Sunny,Morning
ORD-100106,5/15/2024,DK026,Dunkins Store DK026,West,California,Los Angeles,B010,Frozen Chocolate,Frozen Drinks,Medium,Frozen,3,5.93,0.2,14.23,5.28,8.95,Mobile App,Credit Card,New,Yes,Yes,Completed,Cold,Morning
ORD-100107,2/1/2023,DK024,Dunkins Store DK024,Northeast,Massachusetts,Boston,B010,Frozen Chocolate,Frozen Drinks,Medium,Frozen,2,5.88,0,11.76,3.57,8.19,Mobile App,Gift Card,New,No,No,Completed,Cold,Night
ORD-100108,4/30/2024,DK015,Dunkins Store DK015,South,Texas,Dallas,F001,Glazed Donut,Bakery,NA,NA,1,1.8,0.1,1.62,0.44,1.18,In-Store,Cash,New,Yes,No,Completed,Cloudy,Morning
ORD-100109,8/23/2023,DK020,Dunkins Store DK020,Midwest,Indiana,Indianapolis,F003,Muffin,Bakery,NA,NA,2,3,0,6,1.53,4.47,In-Store,Cash,Returning,No,Yes,Completed,Sunny,Morning
ORD-100110,8/23/2024,DK007,Dunkins Store DK007,Midwest,Michigan,Detroit,F002,Bagel with Cream Cheese,Bakery,NA,NA,1,3.47,0.2,2.78,1.01,1.77,Drive-Thru,Mobile Wallet,Returning,Yes,No,Completed,Sunny,Afternoon
ORD-100111,10/29/2024,DK020,Dunkins Store DK020,Midwest,Illinois,Chicago,B007,Matcha Latte,Tea,Small,Iced,2,4.66,0,9.32,2.57,6.75,Drive-Thru,Mobile Wallet,Returning,No,No,Completed,Sunny,Morning
ORD-100112,2/12/2024,DK016,Dunkins Store DK016,Midwest,Michigan,Detroit,B011,Strawberry Refresher,Refreshers,Medium,Iced,2,4.66,0.05,8.85,2.31,6.54,Delivery,Cash,Returning,Yes,Yes,Completed,Cloudy,Morning
